left_shop,left_brand,left_productName,left_price,right_shop,right_brand,right_productName,right_price,label,id
Colruyt,ORGANIX,pouch appel-aard-quinoa 12m,0.99,Albert Heijn,Organix,"Knijpfruit appel, aardbei, quinoa 12mnd",0.99,1,25
Albert Heijn,Tiense,Cassonade graeffe,1.99,Colruyt,TIENSE SUIKER,cassonade Graeffe,1.75,1,26
Albert Heijn,AH,IJsbergsla,0.99,Colruyt,,ijsbergsla 1 stuk,0.89,1,27
Albert Heijn,Andrélon,Haarlak schitterende glans,5.19,Colruyt,FA,deo Mystic,1.99,0,28
Colruyt,BONDUELLE,kikkererwten blik,1.39,Carrefour,Velleda,4 Viltstiften,2.99,0,29
Colruyt,LIPTON,thee Lemon/forest fr/trop.fr,0.935,Carrefour,Lipton,Black Tea Tropical Fruits 36 g,2.75,1,30
Colruyt,ALPRO,blauwe bosbes,2.39,Carrefour,Alpro,Blauwe Bosbes Plantaardig Alternatief voor Yoghurt 500 g,2.75,1,31
Colruyt,DASH,wasdraadfris 4.68kg,14.39,Albert Heijn,Dash,Waspoeder wasdraad fris,14.39,1,32
Carrefour,Nescafé,Koffie CAPPUCCINO Latte Zakjes 144 g,3.32,Colruyt,NESCAFÉ GOLD,oploskoffie Latte,2.79,1,33
Albert Heijn,DubbelFrisss,Appel & perzik multipack,2.49,Colruyt,BONI,vinaigrette mosterd,1.49,0,34
Colruyt,,Soubirac Spanje rood BIB,14.99,Carrefour,Carrefour,Sensation Vegetal Vanille met Kokosmelk 400 g,2.19,0,35
Colruyt,SHEBA,perfect port.mix 3x(2x37.5g),2.79,Carrefour,Sheba,Perfect Portions met Kip Duo Pack 6 x 37.5 g,2.95,1,36
Albert Heijn,Nature Valley,Protein salted caramel & pinda repen,3.49,Colruyt,NATURE VALLEY,prot.gez.kar.noten GV,2.99,1,37
Albert Heijn,Magnum,Mini classic almond white ijs,4.99,Colruyt,OLA MAGNUM,mini assortiment 10st,4.99,1,38
Carrefour,Spa,Reine Niet Bruisend Natuurlijk Mineraalwater PET 8 x 1.5 L,7.09,Colruyt,SPA REINE,plat water,0.83,1,39
Carrefour,LU,Cracotte Gourmande Knapperig Recept 250 g,2.38,Colruyt,LU,cracotte gourmande,2.19,1,40
Colruyt,ALPRO,Absolutely kokosnoot natuur,3.29,Albert Heijn,Alpro,Mild & creamy vanille,2.69,0,41
Carrefour,Alpro,Amandel Ongezoet Geroosterd 1 L,2.69,Albert Heijn,Alpro,Sojadrink light,1.39,0,42
Colruyt,HEAD&SHOULDERS,shampoo munt,2.49,Albert Heijn,Head & Shoulders,Antiroos shampoo menthol fresh,4.99,1,43
Colruyt,L'OR ESPRESSO,caps Lungo Profondo 8,5.29,Albert Heijn,L'OR,Espresso lungo profondo koffiecups,5.79,1,44
Carrefour,Evian,Eau Minérale Naturelle 31 cl,1.13,Colruyt,,Château Bellevue Bordeaux,6.56,0,45
Albert Heijn,Blue Band,Goede start!,1.99,Colruyt,L'OREAL,Infinia préférence mango 7.40,12.35,0,46
Carrefour,Carrefour,Bio Cafeïnevrij 10 Stuks 52 g,2.79,Colruyt,NIVEA,deo roll. Pearl/Double Effect,3.69,0,47
Colruyt,ALPRO,perzik,1.36,Albert Heijn,Alpro,Absolutely coconut naturel,3.49,0,48
Carrefour,Oikos,Yoghurt op Griekse Wijze Natuur 4 x 115 g,3.69,Albert Heijn,Danone,Oikos natuur,2.47,1,49
Albert Heijn,Apetina,Witte kaasblokjes 45+ in olie,1.79,Colruyt,GILLETTE,fusion xl mesjes,38.25,0,50
Colruyt,BONI BIO,wortelen,1.63,Albert Heijn,AH,Roerbak Italiaans grootverpakking,2.99,0,51
Albert Heijn,Kellogg's,Mini's,3.19,Colruyt,KELLOGG'S,Variety minipacks,2.89,1,52
Colruyt,FELIX,PlayTubes,4.39,Carrefour,Felix,SNACKS KAT PLAYTUBES KALKOEN- EN HAMSMAAK 180 g,4.5,1,53
Albert Heijn,Oral-B,Pro-Expert pulsar manuel tandenborstel M,6.99,Colruyt,ORAL-B,tandenborstel pro-exp.pulsar,3.87,1,54
Carrefour,Whiskas,Droge Voeding  Onweerstaanbar  1+ Jaar Brokjes Rund 3.8 kg,9.58,Colruyt,WHISKAS,1+ rund,8.99,1,55
Albert Heijn,Kleenex,Tissuebox,0.99,Colruyt,KLEENEX,original box,1.49,1,56
Carrefour,Benecol,Aardbei 8 x 67.5 g,7.09,Colruyt,BENECOL,drinkyoghurt aardbei,6.79,1,57
Colruyt,LIPTON,Green Tea Indonesian Sencha,1.39,Carrefour,Lipton,Pyramides Groene thee Sencha 20 theezakjes,2.59,1,58
Colruyt,GALBANI,mozzarella,1.19,Albert Heijn,Galbani,Mozzarella lactosevrij,1.69,0,59
Colruyt,KELLOGG'S SPECIAL K,pure chocolade,5.66,Carrefour,Kellogg's,Special K Dark Chocolate 550 g,6.42,1,60
Carrefour,Persil,Voorgedoseerd Wasmiddel Discs Kleur 28DS 700g,14.29,Albert Heijn,Persil,Discs color,15.49,1,61
Carrefour,Alpro,Ijs Amandel - Salted Karamel 500 ml,5.85,Albert Heijn,Alpro,IJs almond salted caramel,4.99,1,62
Colruyt,ALPRO,perzik/ananas-passievrucht,3.05,Albert Heijn,Alpro,Sojadrink light,1.39,0,63
Albert Heijn,Colgate,Total whitening tandpasta,2.49,Colruyt,COLGATE TOTAL,tandpasta Whitening,2.49,1,64
Carrefour,Leerdammer,Mini-Kaasschnitzels met Kruiden en Pompoenpitten 4 x 40 g,3.55,Albert Heijn,Leerdammer,Original 45+ plakken,1.99,0,65
Albert Heijn,Dr. Oetker,Ristorante pizza vegetale,2.49,Carrefour,Dr. Oetker,Ristorante Pizza Vegetale 385 g,3.69,1,66
Albert Heijn,Lay's,Sensations Thai sweet chilli,1.49,Colruyt,LAY'S SENSATIONS,Thai Sweet Chilli,1.49,1,67
Albert Heijn,BioToday,Tahin wit,2.99,Carrefour,Galbani,Mozzarella 125 g,1.35,0,68
Colruyt,DR.OETKER RISTORANTE,pizza funghi,2.89,Albert Heijn,Dr. Oetker,Ristorante pizza funghi,2.49,1,69
Carrefour,Nescafé,Gold Dessert 200 g,6.85,Colruyt,NESCAFÉ GOLD,oploskoffie dess. glas,6.39,1,70
Albert Heijn,AH,Ei salade,1.69,Colruyt,GOURMET,confituur ass. cups,4.39,0,71
Colruyt,,trostomaten,2.45,Carrefour,La Cave d'Augustin Florent,Languedoc 75 cl,4.69,0,72
Carrefour,Pur Natur,Bio Yoghurt Mager 500 g,2.23,Colruyt,PUR NATUR,yog.mager natuur bio glas,2.19,1,73
Colruyt,PUR NATUR,yoghurt vol natuur bio,2.8,Albert Heijn,Pur Natur,Biologische yoghurt,1.79,0,74
Colruyt,ALPRO,Mild&Creamy natuur,2,Albert Heijn,Alpro,Not M*LK Drink Plantaardig & Halfvol,1.99,0,75
Colruyt,COCA-COLA,2L,2.59,Albert Heijn,Coca-Cola,Zero 8-pack,4.39,0,76
Carrefour,Alpro,Natuur Plantaardig Alternatief voor Yoghurt Zonder Suikers 500 g,2.74,Albert Heijn,Alpro,Sojadrink rode vruchten,1.99,0,77
Colruyt,BONI,hazelnoten,4.27,Albert Heijn,Erdinger,Weissbier,1.99,0,78
Carrefour,Starbucks,"by NESPRESSO Single-Origin Sumatra  10 capsules, 55g",3.99,Albert Heijn,Starbucks,Vanilla bean macchiato,1.99,0,79
Colruyt,LOTUS,speculoos 6 granen,3.4,Albert Heijn,Lotus,Biscoff speculoos pasta original,2.99,0,80
Colruyt,PHILADELPHIA,Light look&fijne kruid,2.37,Albert Heijn,Philadelphia,Bieslook roomkaas,1.59,0,81
Albert Heijn,Quorn,Stukjes dés glutenvrij,1.59,Colruyt,QUORN,stukjes vegetarisch,1.06,1,82
Albert Heijn,Senseo,Mocca gourmet koffiepads,4.59,Carrefour,Carrefour,10 Balpennen verschillende kleuren Medium,1.79,0,83
Colruyt,NESTLÉ COOKIE CRISP,ontbijtgranen,3.99,Carrefour,Cookie Crisp,Ontbijtgranen met Koekjessmaak en Stukjes met Chocaladesmaak 375 g,4.94,1,84
Colruyt,CHIMAY,"trappist tripel 8,0%vol",6.85,Albert Heijn,Chimay,Tripel,1.15,1,85
Carrefour,Nestlé,Groeimelk 1+ vanaf 1 Jaar 6 x 1 L,11.34,Albert Heijn,Nestlé,Nesquik,1.99,0,86
Carrefour,Brugge,Dentelle 150 g,4.49,Colruyt,BRUGGE,Dentelle witte zachte kaas,3.8,1,87
Carrefour,Vache Bleue,Cheddar 150 g,4.85,Colruyt,VACHE BLEUE,cheddar geraspt,4.35,1,88
Colruyt,PUR NATUR,yoghurt vol nat.bio glas,1.79,Albert Heijn,Pur Natur,Biologische yoghurt vanille,1.99,0,89
Albert Heijn,Listerine,Mondwater total care,3.99,Colruyt,LISTERINE TOTAL CARE,mondspoeling,4.49,1,90
Colruyt,COLRUYT,pâté met ardeense ham,2.28,Albert Heijn,AH Biologisch,Vegan groenteburger,2.99,0,91
Colruyt,ALPRO,vanille,1.24,Albert Heijn,Alpro,Nutty mousse,1.99,0,92
Colruyt,ALWAYS DISCREET,long,2.76,Albert Heijn,Always,Discreet long maandverband,3.79,1,93
Albert Heijn,Bolsius,Dinerkaars rustiek antraciet 27cm,1.19,Colruyt,NIVEA,Baby beschermende zinkzalf,3.85,0,94
Albert Heijn,Listerine,Coolmint Mild,5.99,Carrefour,Listerine,Cool Mint Mondspoeling Mild Mint 500 ml,6.39,1,95
Colruyt,NESCAFÉ DOLCE GUSTO,caps Espr.int.,4.19,Albert Heijn,Nescafé Dolce Gusto,Koffiecups espresso intenso,4.19,1,96
Colruyt,COTE D'OR,bar melk banaan,2.69,Albert Heijn,Côte d'Or,Reep banaan,2.69,1,97
Albert Heijn,Knorr,Mix kerriesaus,0.99,Colruyt,ORAL-B,tandenborstel pro-exp.pulsar,6.99,0,98
Colruyt,ALPRO,sojadrink Light,1.39,Albert Heijn,Alpro,Sojadrink light,1.39,1,99
Colruyt,MORA,oven fun mix,5.25,Albert Heijn,Mora,Vega draadjesvlees kroket,3.49,0,100
Carrefour,Lipton,Infusion Camomile 14 g,2.59,Albert Heijn,Lipton,Green tea citrus,2.39,0,101
Carrefour,Alpro,Plantaardig Alternatief voor Room Light 250 ml,3.95,Albert Heijn,Alpro,Mango met meer fruit,2.49,0,102
Colruyt,KLEENEX,Ultra soft box,2.35,Carrefour,Kleenex,Ultra Soft Zakdoeken 3-Laags 72 Stuks,2.4,1,103
Colruyt,DANEROLLES,Croissant Classic,1.89,Albert Heijn,Danerolles,Croissants party mini's,2.49,0,104
Colruyt,NATURE VALLEY,prot.gez.kar.noten GV,2.99,Albert Heijn,Nature Valley,Protein salted caramel & pinda repen,2.99,1,105
Albert Heijn,Senseo,Extra strong koffiepads,3.99,Colruyt,SENSEO,pads extra strong,3.99,1,106
Colruyt,HAK,prinsessenbonen extra fijn,2.79,Albert Heijn,Hak,Gesneden bladspinazie,1.69,0,107
Albert Heijn,Red Bull,Energy drink 24-pack,24,Colruyt,RED BULL,energiedrank,1.07,1,108
Carrefour,Carrefour,Tiramisu Speculaas 2 x 100 g,1.99,Colruyt,BONI,Zeeuwse mossel op azijn MSC,1.79,0,109
Albert Heijn,Lay's,Mama mia's paprika kaas,1.39,Colruyt,LAY'S MAMA MIA'S,kaas-paprika,1.29,1,110
Carrefour,Alpro,Not MLK Plantaardige Drink Vol 3.5% 1 L,2.05,Albert Heijn,Alpro,Kokosnootdrink original,1.89,0,111
Carrefour,Light & Free,Skyr Natuur rijk aan Proteïnen 480 g,2.48,Colruyt,LIGHT&FREE,Skyr natuur,2.39,1,112
Albert Heijn,AH,Koffiecreamer,1.79,Colruyt,NIVEA,Baby shampoo & bad,4.49,0,113
Carrefour,Boursin,Verse roomkaas Vijgen & 3 Noten 150 g,4.15,Albert Heijn,Boursin,Cuisine knoflook & fijne kruiden,2.29,0,114
Colruyt,BRUGSE ZOT,"bier blond 6,0%vol",6.9,Albert Heijn,Brugse Zot,Blond,1.15,1,115
Carrefour,Vache Bleue,Mix Pasta 3 Kazen 150 g,2.9,Albert Heijn,Vache Bleue,Gratin rasp,2.59,0,116
Colruyt,BONI BIO,munt plant,1.09,Albert Heijn,Vanish,Gold powergel - vlekverwijderaar,2.89,0,117
Colruyt,LIPTON,thee Lemon/forest fr/trop.fr,1.59,Carrefour,Lipton,Pyramide  Zwarte thee Bosvruchten 20 zakjes,2.75,1,118
Albert Heijn,Quaker,Granola noten-zaden,2.19,Carrefour,Quaker,Havermout Granola Noten & Zaden 450 gr,2.59,1,119
Colruyt,IGLO,zalm mosterdsaus groentjes,6.49,Albert Heijn,Iglo,Vissticks glutenvrij,4.99,0,120
Albert Heijn,Organix,"Knijpfruit haver, appel, banaan 12mnd",0.99,Colruyt,ORGANIX,po.hav-ap-ba-fr-bos.12M bio,0.99,1,121
Carrefour,Philadelphia,Smeerkaas Bieslook 185 g,1.89,Colruyt,PHILADELPHIA,bieslook,1.59,1,122
Albert Heijn,AH,Goudse jong 48+ stuk,6.26,Colruyt,BONI,speculoospasta crunchy,1.39,0,123
Albert Heijn,Brinta,Volkoren graanontbijt,1.99,Colruyt,SYOSS,uitgroeispray donkerbruin,5.84,0,124
Albert Heijn,AH,Ongebrande amandelen,6.99,Colruyt,BELVIVA,Belgische frieten,5.76,0,125
Colruyt,LIPTON,thee Herbal inf. Linden,2.19,Albert Heijn,Lipton,Sparkling 4-pack,2.69,0,126
Albert Heijn,AH,Schenkhoning,2.89,Colruyt,BONI,Zeeuwse mosselen Jumbo MSC,12.98,0,127
Colruyt,QUALITY STREET,choc. ass. toff-pr,3.19,Albert Heijn,Quality Street,Mini chocolade bonbons,3.19,1,128
Colruyt,BONI,verse kaas bosvrucht,0.49,Albert Heijn,AH,Choco chip double choc milk dark cookies,1.19,0,129
Carrefour,Nescafé,Gold 50 g,3.45,Albert Heijn,Nescafé,Gold caramel latte oploskoffie,1.64,0,130
Albert Heijn,Ella's Kitchen,Aardbeien + appels haverrepen 12+ bio,3.59,Colruyt,ELLA'S KITCHEN,b.str-apple12m+ bio,3.65,1,131
Carrefour,Pur Natur,Bio Yoghurt Skyr Perzik / Maracuja 400 g,3.25,Colruyt,PUR NATUR,Skyr perzik maracuja bio,3.05,1,132
Carrefour,Alpro,Greek Style Aardbei 400 g,2.85,Albert Heijn,Alpro,Absolutely coconut naturel,3.49,0,133
Carrefour,Danone,"Verse Kaas Natuur Mager, Zacht & Smeuïg 500 g",1.97,Colruyt,DANONE,verse kaas mager natuur,1.79,1,134
Albert Heijn,Lipton,Infusie morocco mint kruidenthee,1.49,Carrefour,Lipton,Pyramide Kruidenthee Marokko Munt 20 zakjes,2.59,1,135
Albert Heijn,AH,IJsbergsla,0.99,Colruyt,LENOR,zacht fris lente 56sc,4.2,0,136
Albert Heijn,Lotus,Biscoff speculoos pasta original,2.99,Carrefour,Lotus Biscoff,The Original Speculoos Pasta 720 g,4.65,1,137
Colruyt,BONI,meergranen stokbrood,1.08,Albert Heijn,Haribo,Soda straws f!zz,1.69,0,138
Carrefour,Alpro,360 Kcal ijs met Chocoladeswirls 450 ml,6.35,Albert Heijn,Alpro,Plantaardige variatie op yoghurt bosbes,2.49,0,139
Albert Heijn,Jupiler,Pils,12.99,Colruyt,JUPILER,"pils 5,2%vol",12.99,1,140
Colruyt,STARBUCKS,caps Blond.Espresso Roast,3.69,Albert Heijn,Starbucks,Nespresso koffiecups blonde espresso,3.79,1,141
Carrefour,Becel,Original 300 g,2.09,Colruyt,BECEL,original,2.02,1,142
Colruyt,BEEMSTER,jong belegen sneetjes,4.78,Albert Heijn,Beemster,Kaas jong 48+ plakken,4.26,0,143
Colruyt,EVIAN+,Lime-Ginger,1.08,Carrefour,Evian,+ Bruisend Mineraalwater Limoen & Gember 6 x 33 cl,6.75,1,144
Carrefour,Alpro,Kers Plantaardig Alternatief voor Yoghurt 500 g,2.55,Albert Heijn,Alpro,Hazelnootdrink original,2.19,0,145
Colruyt,BONI,hele aardappelen voorgekookt,1.15,Albert Heijn,Nivea,Shower oil doucheolie,4.29,0,146
Carrefour,Campina,Lactosevrije Halfvolle Melk 6 x 1 L,13.65,Colruyt,CAMPINA,halfvolle melk lactosevrij,1.95,1,147
Colruyt,DALOPLAST,snijplank kaas 35x25cm,7.99,Carrefour,Entremont,l'Emmental Français Extra Fin Maxi Format 500 g,8.39,0,148
Albert Heijn,Doritos,Nacho cheese,1.59,Colruyt,EVERYDAY,hond terrine rund vlootje,0.47,0,149
Albert Heijn,Dr. Oetker,La margherita pizza classico,2.49,Carrefour,Dr. Oetker,Pizza La Margherita Classica 265 g,2.51,1,150
Colruyt,VANILIVIT,magere melk vanille glas,2.25,Carrefour,VaniliVit,0.5 L,2.3,1,151
Carrefour,Catisfactions,Kattensnacks met Rund 60 g,1.45,Colruyt,CATISFACTIONS,snacks met rundvlees,1.42,1,152
Albert Heijn,Parodontax,Original dagelijkse tandpasta,3.99,Colruyt,PARODONTAX,tandpasta Original,3.99,1,153
Albert Heijn,Dr. Oetker,Ristorante pizza pollo,1.79,Colruyt,DR.OETKER RISTORANTE,pizza pollo,1.79,1,154
Colruyt,LISTERINE,coolmint,4.12,Albert Heijn,Listerine,Antibacterieel mondwater coolmint,5.49,1,155
Carrefour,Alpro,360 Kcal ijs met Chocoladeswirls 450 ml,6.35,Albert Heijn,Alpro,Nutty mousse,1.99,0,156
Carrefour,Bambix,Soja Groeidrink 1-3+ Jaar 1 L,1.74,Colruyt,BAMBIX,groeimelk soja 1-3 jaar,1.65,1,157
Colruyt,CÉCÉMEL,less sugar brik,1.49,Carrefour,Cécémel,Less Sugar 1 L,1.7,1,158
Colruyt,CROKY,Bolognese,1.1,Albert Heijn,Croky,Chips bolognese,1.19,1,159
Colruyt,ARIEL,pods all in one color,3.99,Carrefour,Ariel,"All-in-1 Pods Colour Wasmiddelcapsules, 16 Wasbeurten",9.19,1,160
Colruyt,,Pinot Gris 1er Cru Luxemburg,6.39,Carrefour,Domaines Vinsmoselle,Pinot Luxembourg 75 cl,5.99,1,161
Albert Heijn,Rexona,Men maxpro clean scent,7.49,Colruyt,REXONA,deostick Max Protect Men,7.49,1,162
Carrefour,Château Le Grand Verdus,Cabernet Sauvignon Rosé,7.39,Colruyt,DASH,stralend wit 1.485L,6.96,0,163
Albert Heijn,Del Monte,Ananasblokjes op sap,0.69,Colruyt,DEL MONTE,ananas stuk sap blik,2.07,1,164
Carrefour,Felix,"Kat Party Mix Snacks Mix Met Kip-, Lever- & Kalkoensmaak 200 g",3.59,Colruyt,FELIX,Party mix Original,3.59,1,165
Carrefour,Zuivelhoeve,Boer'n Vla Vanille 450 g,2.7,Albert Heijn,Zuivelhoeve,Muesli kokos - bosvruchten,1.65,0,166
Colruyt,BEEMSTER,jong belegen sneetjes,6.38,Albert Heijn,Beemster,Kaas jong 48+ stuk,7.8,0,167
Colruyt,EVIAN,plat water sportdop,0.506,Carrefour,Evian,Niet Bruisend Natuurlijk Mineraalwater voor Kinderen 12 x 33 cl,6.45,1,168
Carrefour,Becel,ProActiv Original 475 g,5.15,Colruyt,BECEL PROACTIV,Original,5.12,1,169
Carrefour,Colgate,Fresh gel tandpasta 75ml,1.28,Colruyt,COLGATE,TP Fresh Gel/Bi-Fluor,1.22,1,170
Colruyt,DOUWE EGBERTS,caps Lungo 6 dessert,4.19,Carrefour,Douwe Egberts,Koffie Capsules Dessert Lungo Intensiteit 06 Nespresso* Compatibel 20 stuks,4.19,1,171
Colruyt,FANTA,Orange,0.582,Albert Heijn,Fanta,Orange 12pack,6.99,1,172
Carrefour,Leerdammer,Original Plakken Maxi Pack 350 g,5.55,Albert Heijn,Leerdammer,Belegen 48+ plakken,2.29,0,173
Albert Heijn,Danone,Danette vanille,1.59,Colruyt,DANONE DANETTE,crème vanille,1.48,1,174
Colruyt,ALPRO,natuur,1.99,Albert Heijn,Alpro,Plantaardige variatie op yoghurt perzik,2.19,0,175
Albert Heijn,Nivea,Men dry impact anti-transpirant roller,2.19,Colruyt,NIVEA MEN,deo Dry Impact+ roller,2.18,1,176
Albert Heijn,Alpro,Plantaardige variatie op yoghurt naturel,1.99,Carrefour,Alpro,Natuur Plantaardig Alternatief voor Yoghurt 500 g,2.15,1,177
Colruyt,BOSTO,Tartinettes fondantchocolade,1.89,Carrefour,Bosto,Tartinettes Puur 8 Stuks 90 g,1.92,1,178
Colruyt,SIGNAL,Integral 8 Complete,1.74,Carrefour,Signal,Integral 8 Tandpasta Complete 75 ml,1.84,1,179
Colruyt,ALPRO,vanille,1.24,Carrefour,Alpro,Vanille Plantaardig Alternatief voor Yoghurt 500 g,2.28,1,180
Colruyt,CONTREX,plat water,0.781,Carrefour,Contrex,Plat Natuurlijk Mineraalwater 1 L,0.79,1,181
Albert Heijn,Appelsientje,Sinaasappel,1.29,Colruyt,APPELSIENTJE,Premium sinaasappelsap,1.29,1,182
Carrefour,Douwe Egberts,Koffie Filters Dessert 10 stuks,3.21,Albert Heijn,Douwe Egberts,Aroma rood filterkoffie,5.99,0,183
Carrefour,Carlsbourg,Mini-Boters Ongezouten 16 x 12.5 g,5.19,Colruyt,CARA PILS,"4,4% blik",0.45,0,184
Carrefour,HiPRO,om te Lepelen Vanillesmaak met 15 g Proteïne 2 x 160 g,2.7,Colruyt,,Château l'Apolline St-Emilion GC,8.99,0,185
Colruyt,B&J,Half Baked,6.35,Carrefour,Ben & Jerry's,Ijs Half Baked 465 ml,6.65,1,186
Carrefour,Oral-B,3D White Luxe Perfection Tandpasta 75ml,5.29,Albert Heijn,Oral-B,Perfection tandpasta,4.99,1,187
Albert Heijn,Nescafé Dolce Gusto,Nesquik cups chocomelk,4.79,Carrefour,Nescafé Dolce Gusto,Nesquik 16 Capsules 256 g,5.29,1,188
Carrefour,Joyvalle,Volle Melk 6 x 0.2 L,3.79,Colruyt,JOYVALLE,volle AA melk brik,3.59,1,189
Albert Heijn,Coca-Cola,Zero 12pack,7.75,Colruyt,COCA-COLA,Zero Sugar,0.645,1,190
Colruyt,IGLO,Kombinos tomaat mozzarella MSC,7.97,Albert Heijn,Iglo,Fish sticks bel,5.49,0,191
Albert Heijn,Ocean Spray,0% suiker toegevoegd,1.99,Colruyt,OCEAN SPRAY,Cranberry Classic Light,1.99,1,192
Colruyt,HAK,rode kool met stukjes appel,0.99,Albert Heijn,Hak,Worteltjes extra fijn,1.29,0,193
Albert Heijn,AH,Japanse bollenmix,1.99,Colruyt,VICKS BLUE,munt sv box,2.05,0,194
Colruyt,DEVOS LEMMENS,mayonaise eieren TD,2.89,Albert Heijn,D&L,Mayonaise ei,2.99,1,195
Albert Heijn,Go-Tan,Gehakte knoflook,1.69,Colruyt,MOUSSE DE LIN,vloerreiniger lijnolie,3.05,0,196
Carrefour,Kerrygold,Pure Ierse Boter Ongezouten 250 g,3.35,Albert Heijn,Kerrygold,Boter ongezouten,3.29,1,197
Colruyt,DR.OETKER RISTORANTE,pizza funghi,2.49,Albert Heijn,Dr. Oetker,Ristorante pizza funghi,2.49,1,198
Carrefour,Douwe Egberts,Koffie Pads Moka Royal 32 Stuks,3.69,Colruyt,DOUWE EGBERTS,moka pads,3.45,1,199
Albert Heijn,Vegetarische Slager,Bratwurst,2.89,Colruyt,EVERYDAY,toiletpapier Maxi,3.35,0,200
Carrefour,Nesquik,Cacaopoeder doos 500 g,2.3,Colruyt,NESTLÉ NESQUIK,cacaopoeder,1.99,1,201
Albert Heijn,Colgate,Total whitening tandpasta,2.49,Carrefour,Colgate,Total Whitening tandpasta 75ml,2.81,1,202
Colruyt,MILKA,tablet melk hele noot,2.69,Albert Heijn,Milka,Mmmax chocolade reep hazelnoot,2.89,1,203
Colruyt,ALPRO,Greek Style natuur,2.29,Albert Heijn,Alpro,Absolutely coconut naturel,3.49,0,204
Carrefour,Dr. Oetker,Ristorante Pizza Mozzarella Gluten Free 370 g,5.25,Albert Heijn,Dr. Oetker,Ristorante pizza mozzarella glutenvrij,3.89,1,205
Colruyt,DOUWE EGBERTS,dessert,3.29,Albert Heijn,Douwe Egberts,Ice cappuccino ijskoffie,1.39,0,206
Carrefour,Beemster,Jong Sneetjes 250 g,3.55,Albert Heijn,Beemster,Kaas jong 48+ plakken,4.26,0,207
Colruyt,SPA TOUCH,bruisend Raspberry-Plum,0.79,Carrefour,Spa,TOUCH Bruisend Mineraalwater framboos pruim 6 X 50 cl,5.15,1,208
Carrefour,Lotus Biscoff,The Original Speculoos Pasta 400 g,2.8,Colruyt,VERMEIREN,speculoos geel,2.08,0,209
